Q(Å⁻¹)	Intensity	Error
1.214120204209803103e-03	7.192499322779108972e-01	7.192499322779108764e-03
1.630751382398305891e-03	7.128626640563529016e-01	7.128626640563529189e-03
2.037155310129221044e-03	6.898684984587439839e-01	6.898684984587439770e-03
2.448667237247674055e-03	6.650858977590986543e-01	6.650858977590986404e-03
2.857618402609507068e-03	6.420917321614897366e-01	6.420917321614897852e-03
3.264008105879956812e-03	6.196085480216053654e-01	6.196085480216054035e-03
3.675503222852911141e-03	5.973808546105833228e-01	5.973808546105833020e-03
4.081879481746705091e-03	5.741311982841120765e-01	5.741311982841120799e-03
4.490803631547734924e-03	5.513925234153653765e-01	5.513925234153654181e-03
4.899719026297291030e-03	5.304422836486549775e-01	5.304422836486549775e-03
5.311180498595723283e-03	5.107694975262562220e-01	5.107694975262561977e-03
5.717520361854660192e-03	4.910967114038574111e-01	4.910967114038574180e-03
6.128960198755161771e-03	4.711684345525963269e-01	4.711684345525963581e-03
6.535277111039718145e-03	4.532840835322337059e-01	4.532840835322337128e-03
6.946692104051788857e-03	4.351442417830089227e-01	4.351442417830089608e-03
7.352982896821063687e-03	4.180263629492333433e-01	4.180263629492333294e-03
7.764369837647946797e-03	4.006529933865954352e-01	4.006529933865954178e-03
8.170631342564724231e-03	3.843015867394068419e-01	3.843015867394068436e-03
8.581987023128413369e-03	3.669282171767689338e-01	3.669282171767689320e-03
8.988216072083866914e-03	3.508323012584426692e-01	3.508323012584426814e-03
9.402092017549086231e-03	3.355028575267033353e-01	3.355028575267033578e-03
9.800621474029349439e-03	3.206843952526886032e-01	3.206843952526885946e-03
1.021956874043787773e-02	3.043329886055000655e-01	3.043329886055000637e-03
1.062061451166803304e-02	2.905364892469346483e-01	2.905364892469346379e-03
1.103441153410426867e-02	2.759735177017823005e-01	2.759735177017822848e-03
1.144052420917730101e-02	2.629434905298038694e-01	2.629434905298038729e-03
1.185172277315887403e-02	2.496579726289631374e-01	2.496579726289631374e-03
1.226034413271282798e-02	2.353504918126730905e-01	2.353504918126731078e-03
1.266638793186135488e-02	2.220649739118323585e-01	2.220649739118323723e-03
1.307751434873434364e-02	2.100569096553032422e-01	2.100569096553032544e-03
1.348095493190532013e-02	1.988153175853610843e-01	1.988153175853611069e-03
1.389458258367197267e-02	1.862962718711072829e-01	1.862962718711072769e-03
1.429797046395646885e-02	1.750546798011651251e-01	1.750546798011651294e-03
1.471154246586348600e-02	1.633021062734983098e-01	1.633021062734983132e-03
1.511742714123886187e-02	1.523160049324184806e-01	1.523160049324184893e-03
