Q(Å⁻¹)	Intensity	Error
1.220890385622434892e-03	7.188948390486421536e-01	7.188948390486421536e-03
1.636399751757333871e-03	7.297669796765241523e-01	7.297669796765242009e-03
2.041646483587167531e-03	7.102610803147358931e-01	7.102610803147359035e-03
2.457148589551042244e-03	6.872377236909857912e-01	6.872377236909857877e-03
2.864951441782115360e-03	6.667725178032078981e-01	6.667725178032078877e-03
3.275313522249285667e-03	6.437491611794577961e-01	6.437491611794577719e-03
3.685669217325146952e-03	6.220048799236939097e-01	6.220048799236939374e-03
4.096017727000273757e-03	5.996210609839368599e-01	5.996210609839368322e-03
4.506358251279248515e-03	5.788360862541623852e-01	5.788360862541624269e-03
4.916689990182222803e-03	5.596499557343707076e-01	5.596499557343707215e-03
5.327012143746474686e-03	5.401440563725824484e-01	5.401440563725824241e-03
5.739888326240706606e-03	5.203183881687977186e-01	5.203183881687977082e-03
6.150188836892777310e-03	5.011322576490059300e-01	5.011322576490059161e-03
6.557913093069343315e-03	4.851438155491795134e-01	4.851438155491795239e-03
6.970753087994921784e-03	4.665972227133807770e-01	4.665972227133808291e-03
7.378451134187068855e-03	4.499692429295612528e-01	4.499692429295612528e-03
7.791262979764210922e-03	4.330214943037452580e-01	4.330214943037452580e-03
8.196367731347410993e-03	4.167132833619223153e-01	4.167132833619223604e-03
8.611712113699683882e-03	4.004050724200993172e-01	4.004050724200992895e-03
9.019348202218391286e-03	3.850561680042658974e-01	3.850561680042659078e-03
9.432094091774180511e-03	3.687479570624428993e-01	3.687479570624429236e-03
9.839694433087027570e-03	3.537188214886060611e-01	3.537188214886060472e-03
1.025240251648424500e-02	3.377303793887795891e-01	3.377303793887796116e-03
1.065740071600871502e-02	3.246198568669219076e-01	3.246198568669218971e-03
1.107263099089999224e-02	3.099104901350815955e-01	3.099104901350816128e-03
1.148015030245664453e-02	2.961604299292308617e-01	2.961604299292308878e-03
1.189277311871501409e-02	2.814510631973904942e-01	2.814510631973905167e-03
1.230024714835322060e-02	2.686603095175293388e-01	2.686603095175293509e-03
1.271538500657078997e-02	2.568288623636577617e-01	2.568288623636577877e-03
1.312024807445167675e-02	2.430788021578070279e-01	2.430788021578070193e-03
1.353277275273386329e-02	2.302880484779458725e-01	2.302880484779458968e-03
1.394014668622006910e-02	2.181368324820777971e-01	2.181368324820777849e-03
1.435005562615605974e-02	2.063053853282062200e-01	2.063053853282062217e-03
1.475993658992431727e-02	1.954332447003242212e-01	1.954332447003242178e-03
1.516978877844092979e-02	1.839215663884491703e-01	1.839215663884491815e-03
1.558217268933962708e-02	1.714505815505845410e-01	1.714505815505845427e-03
1.598940363366561576e-02	1.602586720807060161e-01	1.602586720807060118e-03
1.640172560947098304e-02	1.513051445048032295e-01	1.513051445048032347e-03
1.681145450495653143e-02	1.420318480869038891e-01	1.420318480869038873e-03
1.721859012832650110e-02	1.321190139850114964e-01	1.321190139850115077e-03
1.763081317283167818e-02	1.225259487251156160e-01	1.225259487251156116e-03
1.804044134783962944e-02	1.132526523072162755e-01	1.132526523072162859e-03
1.844747450667729230e-02	1.042991247313134612e-01	1.042991247313134655e-03
1.885703176892333105e-02	9.790374789138288347e-02	9.790374789138288261e-04
1.926655226842102775e-02	9.022929568346618745e-02	9.022929568346619179e-04
1.968115350243829914e-02	8.287461231754601754e-02	8.287461231754601710e-04
2.008292087787311164e-02	7.615946663561891372e-02	7.615946663561891806e-04
2.050000252356280056e-02	7.072339632167791434e-02	7.072339632167791608e-04
2.090169226398248467e-02	6.624663253372652105e-02	6.624663253372652756e-04
2.131613353355598164e-02	6.017102453579246252e-02	6.017102453579246078e-04
2.172285854355953533e-02	5.537449190584452924e-02	5.537449190584453444e-04
2.213465697356880799e-02	5.057795927589659596e-02	5.057795927589659726e-04
2.254129701549176940e-02	4.706050201393477406e-02	4.706050201393477341e-04
2.295556487219654190e-02	4.450235127796254436e-02	4.450235127796254675e-04
2.336467328150667808e-02	4.194420054199031467e-02	4.194420054199031467e-04
2.376606663546567549e-02	3.842674328002849277e-02	3.842674328002849624e-04
2.418275265075960426e-02	3.522905486006319697e-02	3.522905486006319936e-04
2.458405427876592803e-02	3.267090412409097422e-02	3.267090412409097270e-04
2.499553221942850054e-02	3.139182875610485590e-02	3.139182875610485395e-04
2.540696081899270972e-02	2.915344686212915579e-02	2.915344686212915427e-04
2.582089425250918419e-02	2.851390917813609663e-02	2.851390917813609489e-04
2.620922932945900577e-02	2.691506496815345220e-02	2.691506496815345459e-04
2.663583375595422395e-02	2.499645191617427820e-02	2.499645191617427646e-04
2.703684143250150232e-02	2.403714539018469293e-02	2.403714539018469282e-04
2.744801315085349316e-02	2.275807002219857461e-02	2.275807002219857407e-04
2.785913068691783095e-02	2.211853233820551892e-02	2.211853233820552011e-04
2.826508720279677020e-02	2.147899465421246323e-02	2.147899465421246345e-04
2.867864730313395352e-02	1.860107507624370049e-02	1.860107507624370168e-04
2.908194083791217771e-02	1.796153739225064133e-02	1.796153739225064231e-04
2.949283496707664348e-02	1.732199970825758217e-02	1.732199970825758293e-04
2.989856768621098823e-02	1.732199970825758217e-02	1.732199970825758293e-04
3.030934530513128278e-02	1.540338665627841164e-02	1.540338665627841294e-04
3.071751223765796165e-02	1.412431128829229506e-02	1.412431128829229419e-04
3.112306880339217596e-02	1.316500476230270458e-02	1.316500476230270512e-04
3.153366565099999241e-02	1.220569823631311931e-02	1.220569823631312013e-04
3.194165054068250076e-02	1.156616055232006016e-02	1.156616055232006075e-04
3.234702383714633395e-02	1.060685402633047489e-02	1.060685402633047576e-04
3.275743270913496902e-02	9.967316342337415730e-03	9.967316342337416380e-05
3.316267987440679743e-02	8.688240974351299148e-03	8.688240974351298985e-05
3.357550754250237385e-02	8.368472132354771303e-03	8.368472132354772008e-05
3.397807730242789759e-02	7.409165606365184301e-03	7.409165606365184301e-05
3.438567705082078152e-02	6.130090238379069453e-03	6.130090238379069616e-05
3.479575662955557147e-02	5.170783712389481583e-03	5.170783712389481908e-05
3.520067464318989148e-02	5.170783712389481583e-03	5.170783712389481908e-05
3.561061690741561259e-02	4.531246028396424159e-03	4.531246028396424566e-05
3.581938040957076408e-02	4.798736361055344971e-03	4.798736361055345025e-05
3.601539773362706642e-02	4.851014870392952004e-03	4.851014870392952221e-05
3.642265435510672750e-02	4.211477186399894580e-03	4.211477186399894878e-05
3.648119167572899668e-02	4.257863303435495232e-03	4.257863303435495449e-05
3.683238465388754407e-02	3.891708344403365435e-03	3.891708344403365191e-05
3.714281513553829156e-02	3.981378673342281065e-03	3.981378673342281336e-05
3.723949801462490827e-02	3.252170660410308011e-03	3.252170660410307848e-05
3.764399499739848332e-02	3.891708344403365435e-03	3.891708344403365191e-05
3.780424738293980402e-02	3.568379757140542965e-03	3.568379757140542830e-05
3.805096282515083722e-02	4.211477186399894580e-03	4.211477186399894878e-05
3.846039932095141056e-02	3.252170660410308011e-03	3.252170660410307848e-05
3.846548501285902699e-02	3.789567461215114039e-03	3.789567461215114392e-05
3.886467514049830180e-02	2.932401818413778432e-03	2.932401818413778500e-05
3.912652462122336028e-02	3.549371438821634795e-03	3.549371438821634876e-05
3.927141804171960238e-02	3.252170660410308011e-03	3.252170660410307848e-05
3.967808438130191601e-02	4.211477186399894580e-03	4.211477186399894878e-05
3.978736280497961048e-02	3.590844133335616140e-03	3.590844133335616112e-05
4.008467336642841661e-02	4.531246028396424159e-03	4.531246028396424566e-05
4.044799616211156718e-02	4.038403628299006877e-03	4.038403628299007229e-05
4.049372464976785241e-02	4.211477186399894580e-03	4.211477186399894878e-05
4.110842129165741266e-02	4.123077046265053586e-03	4.123077046265053721e-05
4.176863479372734667e-02	4.185286088036027120e-03	4.185286088036026931e-05
4.242863326952099612e-02	4.320072345206467899e-03	4.320072345206467981e-05
4.308841332134497742e-02	4.295879940073312440e-03	4.295879940073312712e-05
4.374797155263033394e-02	4.183558059097944835e-03	4.183558059097944944e-05
4.440730456795007747e-02	3.932993863075968412e-03	3.932993863075968764e-05
4.506640897303661186e-02	3.687613753868241445e-03	3.687613753868241255e-05
4.572528137479925370e-02	3.678973609177828719e-03	3.678973609177828611e-05
