Q(Å⁻¹)	Intensity	Error
1.254566145630767356e-03	7.508007243571390710e-01	7.508007243571391057e-03
1.681536486362529429e-03	7.613355736722118294e-01	7.613355736722118676e-03
2.100596706121803537e-03	7.477173538258983232e-01	7.477173538258983544e-03
2.524923999351118449e-03	7.312727109926139279e-01	7.312727109926139141e-03
2.943975257781610878e-03	7.155989107921397752e-01	7.155989107921398133e-03
3.365656335515916989e-03	6.999251105916656224e-01	6.999251105916656258e-03
3.787330851730976323e-03	6.847652054797316312e-01	6.847652054797316069e-03
4.208997984350743189e-03	6.667788773808267511e-01	6.667788773808267476e-03
4.630656911313564897e-03	6.503342345475423558e-01	6.503342345475423940e-03
5.052306810573788109e-03	6.367160147012288496e-01	6.367160147012288808e-03
5.473946860103357827e-03	6.210422145007546968e-01	6.210422145007546933e-03
5.895576237893422437e-03	6.061392569330907865e-01	6.061392569330907587e-03
6.319829195860414590e-03	5.907224042768866035e-01	5.907224042768866555e-03
6.741434684672004997e-03	5.758194467092226931e-01	5.758194467092227209e-03
7.163027030711721123e-03	5.632290170399892881e-01	5.632290170399892847e-03
7.579335771845738777e-03	5.493538496494057011e-01	5.493538496494056872e-03
8.006169006839343807e-03	5.339369969932016291e-01	5.339369969932016707e-03
8.425082368431856608e-03	5.208326722354280625e-01	5.208326722354280659e-03
8.849248549252780940e-03	5.061866622120342329e-01	5.061866622120342156e-03
9.265494034301430606e-03	4.935962325428008279e-01	4.935962325428008661e-03
9.694893376325309023e-03	4.797210651522171854e-01	4.797210651522171819e-03
1.011110224511188073e-02	4.661028453059036236e-01	4.661028453059036687e-03
1.053519403546072410e-02	4.517137828267797084e-01	4.517137828267797292e-03
1.095399719768178765e-02	4.388664056132763891e-01	4.388664056132763822e-03
1.137541305170636750e-02	4.257620808555028780e-01	4.257620808555028641e-03
1.179680672878112395e-02	4.129147036419995032e-01	4.129147036419995170e-03
1.222081090007178482e-02	4.003242739727661537e-01	4.003242739727661675e-03
1.263952426601185584e-02	3.867060541264525364e-01	3.867060541264525243e-03
1.306084648324687229e-02	3.736017293686790808e-01	3.736017293686790929e-03
1.348477626061287890e-02	3.599835095223654635e-01	3.599835095223654496e-03
1.390341370801170297e-02	3.481639224859423565e-01	3.481639224859423530e-03
1.432465707291359983e-02	3.350595977281688453e-01	3.350595977281688349e-03
1.474850501810947602e-02	3.216983254261253089e-01	3.216983254261253193e-03
1.516969152627034231e-02	3.080801055798116916e-01	3.080801055798117194e-03
1.558821632303939581e-02	2.960035709991185038e-01	2.960035709991184951e-03
1.600934305447295272e-02	2.831561937856150735e-01	2.831561937856150613e-03
1.643307032200504864e-02	2.700518690278415623e-01	2.700518690278415866e-03
1.685150206329235137e-02	2.572044918143381875e-01	2.572044918143381962e-03
1.727516403528532238e-02	2.448710096893749188e-01	2.448710096893749310e-03
1.769352966071355282e-02	2.335653177414919179e-01	2.335653177414919162e-03
1.811449212813953658e-02	2.212318356165286493e-01	2.212318356165286510e-03
1.853804996236280492e-02	2.083844584030252467e-01	2.083844584030252606e-03
1.895894075048238855e-02	1.963079238223320588e-01	1.963079238223320797e-03
1.937716435723592714e-02	1.852591794187191110e-01	1.852591794187191058e-03
1.980061062197011404e-02	1.739534874708361378e-01	1.739534874708361344e-03
2.022138806445977766e-02	1.636755857000334047e-01	1.636755857000334134e-03
2.064212608431868767e-02	1.521129462078803229e-01	1.521129462078803360e-03
2.106282386129653891e-02	1.413211493485374837e-01	1.413211493485374897e-03
2.148085159997206728e-02	1.320710377548150183e-01	1.320710377548150192e-03
2.190146669506858740e-02	1.228209261610925668e-01	1.228209261610925702e-03
2.232203909213508614e-02	1.140847096559102630e-01	1.140847096559102682e-03
2.274519613817091446e-02	1.050915456064578646e-01	1.050915456064578602e-03
2.316568039979090277e-02	9.661227664554561390e-02	9.661227664554562083e-04
2.358349189630618709e-02	8.941774540598371179e-02	8.941774540598371613e-04
2.400651261532536773e-02	8.350795188777214439e-02	8.350795188777214613e-04
2.442685892999441402e-02	7.708426328102044311e-02	7.708426328102044008e-04
2.484190418685022425e-02	7.168836485134900960e-02	7.168836485134900613e-04
2.526740787570449023e-02	6.577857133313744220e-02	6.577857133313744697e-04
2.568498276651662304e-02	6.115351553627620951e-02	6.115351553627621168e-04
2.610775978109224418e-02	5.652845973941498375e-02	5.652845973941498722e-04
2.652260886302328091e-02	5.395898429671430740e-02	5.395898429671430697e-04
2.695053323043310883e-02	5.087561376547349024e-02	5.087561376547349067e-04
2.736527904513954418e-02	4.727834814569253918e-02	4.727834814569253832e-04
2.778784625955666929e-02	4.368108252591158119e-02	4.368108252591158054e-04
2.820511035995507121e-02	4.239634480456123955e-02	4.239634480456124042e-04
2.862756773098146593e-02	4.008381690613063014e-02	4.008381690613063361e-04
2.904472172565420243e-02	3.777128900770001380e-02	3.777128900770001596e-04
2.946706595888243241e-02	3.520181356499933051e-02	3.520181356499933029e-04
2.988410659477884132e-02	3.314623321083878804e-02	3.314623321083878609e-04
3.030633439668373175e-02	3.160454794521837946e-02	3.160454794521837794e-04
3.072325842163717291e-02	2.929202004678776658e-02	2.929202004678776571e-04
3.114536649960150325e-02	2.775033478116735799e-02	2.775033478116735756e-04
3.156217066235467855e-02	2.595170197127688247e-02	2.595170197127688138e-04
3.197891405978822016e-02	2.492391179419660777e-02	2.492391179419660928e-04
3.240345721390486960e-02	2.286833144003606530e-02	2.286833144003606508e-04
3.281745544518727825e-02	2.184054126295579060e-02	2.184054126295579027e-04
3.324448949501573186e-02	2.004190845306531507e-02	2.004190845306531681e-04
