Q(Å⁻¹)	Intensity	Error
1.237729318112505868e-03	7.460775495996941897e-01	7.460775495996941654e-03
1.661569768531101499e-03	7.551250493667677199e-01	7.551250493667677720e-03
2.072405777688437339e-03	7.382637998008578784e-01	7.382637998008578610e-03
2.491038412670936158e-03	7.201688002667107069e-01	7.201688002667107347e-03
2.907065975063575797e-03	7.020738007325635355e-01	7.020738007325635216e-03
3.320487752413162161e-03	6.843900511878289183e-01	6.843900511878289739e-03
3.736503211811580388e-03	6.646500516960318627e-01	6.646500516960318801e-03
4.152511386705790009e-03	6.444988022148225859e-01	6.444988022148226414e-03
4.568511466066568077e-03	6.268150526700877467e-01	6.268150526700877467e-03
4.987102553998186937e-03	6.087200531359405753e-01	6.087200531359406204e-03
5.400484094151426773e-03	5.930925535382680636e-01	5.930925535382680983e-03
5.824254370011328931e-03	5.754088039935333354e-01	5.754088039935333770e-03
6.227215186637209514e-03	5.585475544276233828e-01	5.585475544276233793e-03
6.653561307668492790e-03	5.408638048828887657e-01	5.408638048828887449e-03
7.056497873324519589e-03	5.268813052428659160e-01	5.268813052428659299e-03
7.490615058028095297e-03	5.104313056663684067e-01	5.104313056663684241e-03
7.888325243504990328e-03	4.952150560581082828e-01	4.952150560581083071e-03
8.319811869436531324e-03	4.791763064710232722e-01	4.791763064710232931e-03
8.725289428461756314e-03	4.656050568204129769e-01	4.656050568204129700e-03
9.146345152637470541e-03	4.503888072121527975e-01	4.503888072121527662e-03
9.556986837473710125e-03	4.347613076144802302e-01	4.347613076144802441e-03
9.980604463208628263e-03	4.195450580062201618e-01	4.195450580062202138e-03
1.038860971918250872e-02	4.051513083767848689e-01	4.051513083767849070e-03
1.080958832238650656e-02	3.915800587261744625e-01	3.915800587261744972e-03
1.122015158842586124e-02	3.784200590649764995e-01	3.784200590649764925e-03
1.164108670667368152e-02	3.632038094567163755e-01	3.632038094567163755e-03
1.205420411165933695e-02	3.488100598272811936e-01	3.488100598272811988e-03
1.247249431142826923e-02	3.368838101343205049e-01	3.368838101343204963e-03
1.288556419921045929e-02	3.237238104731225419e-01	3.237238104731225349e-03
1.330640233875158077e-02	3.105638108119245788e-01	3.105638108119245736e-03
1.371682380254352074e-02	2.974038111507266713e-01	2.974038111507266990e-03
1.413501124916410542e-02	2.842438114895287082e-01	2.842438114895286944e-03
1.454278208090774814e-02	2.714950618177431885e-01	2.714950618177431815e-03
1.496610761750430917e-02	2.583350621565452254e-01	2.583350621565452202e-03
1.537901562807212838e-02	2.468200624529970633e-01	2.468200624529970529e-03
1.579708727713093411e-02	2.324263128235617981e-01	2.324263128235617894e-03
1.620993488816191777e-02	2.209113131200135804e-01	2.209113131200135787e-03
1.662534752002541721e-02	2.098075634058778338e-01	2.098075634058778598e-03
1.704591978412717951e-02	1.991150636811545027e-01	1.991150636811545027e-03
1.745607473805030688e-02	1.880113139670187283e-01	1.880113139670187405e-03
1.787398330199196916e-02	1.760850642740580951e-01	1.760850642740581029e-03
1.828926120712002015e-02	1.645700645705098775e-01	1.645700645705098705e-03
1.870450345639749004e-02	1.547000648246114329e-01	1.547000648246114321e-03
