Q(Å⁻¹)	Intensity	Error
1.181264433559829326e-03	7.982951141101798376e-01	7.982951141101798931e-03
1.577492121342174590e-03	8.190342679903223067e-01	8.190342679903223760e-03
1.976193126255178407e-03	8.177380016278155139e-01	8.177380016278155625e-03
2.367461132007272259e-03	8.107497964299417159e-01	8.107497964299418061e-03
2.768629977194595523e-03	8.008311429168279982e-01	8.008311429168279635e-03
3.159888095037583725e-03	7.913069089123060396e-01	7.913069089123061367e-03
3.561045237801291341e-03	7.814445746642301183e-01	7.814445746642301530e-03
3.954766628791120918e-03	7.706805782155671247e-01	7.706805782155671559e-03
4.350956567414165574e-03	7.609873864159321100e-01	7.609873864159320996e-03
4.747138023624745094e-03	7.511813714328936520e-01	7.511813714328936277e-03
5.145786270579546899e-03	7.416008181633342300e-01	7.416008181633342022e-03
5.539472399322460661e-03	7.323020458722910853e-01	7.323020458722910749e-03
5.938099684622192773e-03	7.223833923591774786e-01	7.223833923591774925e-03
6.331763577101644051e-03	7.136481820251672215e-01	7.136481820251672215e-03
6.732842547835756093e-03	7.035040667985746898e-01	7.035040667985746794e-03
7.116578359946231815e-03	6.945997140161234151e-01	6.945997140161233943e-03
7.525056996933857968e-03	6.836665751190194040e-01	6.836665751190193832e-03
7.916191625506422205e-03	6.740297025844220746e-01	6.740297025844220989e-03
8.314737375162117514e-03	6.633220254007966554e-01	6.633220254007967005e-03
8.708316140443818701e-03	6.528398099306500502e-01	6.528398099306500883e-03
9.104353318014558188e-03	6.417375285851047995e-01	6.417375285851048029e-03
9.502847810171546200e-03	6.305791126278499359e-01	6.305791126278499636e-03
9.898848598689986497e-03	6.191387310387505005e-01	6.191387310387505213e-03
1.029235526610635179e-02	6.073602492060969915e-01	6.073602492060970089e-03
1.069079150880508991e-02	5.954691288433681118e-01	5.954691288433681257e-03
1.108425752417618870e-02	5.832399082370850474e-01	5.832399082370850855e-03
1.148512547391285048e-02	5.705034449388066697e-01	5.705034449388067010e-03
1.187607334497925438e-02	5.573160582135708863e-01	5.573160582135709175e-03
1.227442104713630938e-02	5.432833285527858269e-01	5.432833285527858061e-03
1.266779655377672960e-02	5.289688179134841572e-01	5.289688179134841364e-03
1.306609532589116628e-02	5.136400065435200446e-01	5.136400065435200828e-03
1.345942097655198309e-02	4.989873956606642458e-01	4.989873956606642562e-03
1.385766771260997163e-02	4.854055894268365923e-01	4.854055894268366304e-03
1.425094044005874652e-02	4.722182027016007533e-01	4.722182027016007602e-03
1.464665888316947842e-02	4.557620827642429040e-01	4.557620827642429491e-03
1.504482174226113612e-02	4.360374142680907839e-01	4.360374142680908081e-03
1.543800933474037164e-02	4.152984450412763318e-01	4.152984450412763699e-03
1.583363980042233263e-02	3.939394099390632897e-01	3.939394099390632585e-03
1.623171179640693282e-02	3.764126700060052011e-01	3.764126700060052046e-03
1.662480735507161633e-02	3.679592406505114988e-01	3.679592406505114918e-03
1.702281489524446259e-02	3.628308637721775476e-01	3.628308637721775354e-03
1.741831704994838137e-02	3.498124348420548202e-01	3.498124348420548081e-03
1.781131367756832659e-02	3.264811175435545776e-01	3.264811175435545706e-03
1.820674736493566037e-02	2.977394577348758675e-01	2.977394577348758606e-03
1.860214555731737329e-02	2.662363074060703494e-01	2.662363074060703372e-03
1.899997838024540531e-02	2.343387375686729057e-01	2.343387375686729283e-03
1.939777369727863077e-02	2.049770118845956612e-01	2.049770118845956751e-03
1.978811945641367753e-02	1.886902190490067910e-01	1.886902190490067927e-03
2.018583814130146467e-02	1.876757336650163865e-01	1.876757336650163857e-03
