Q(Å⁻¹)	Intensity	Error
3.386089848208972790e-03	7.593643666156915106e-01	7.593643666156914968e-03
3.944949745306034448e-03	8.160072362147171576e-01	8.160072362147172478e-03
4.513197880081572765e-03	8.380353203202149937e-01	8.380353203202149659e-03
5.072048579077640014e-03	8.416788105814564380e-01	8.416788105814565144e-03
5.640286114860229398e-03	8.362130325190161306e-01	8.362130325190161861e-03
6.199125164362721992e-03	8.279318794974874773e-01	8.279318794974874912e-03
6.767349608584522815e-03	8.170008660431850034e-01	8.170008660431851005e-03
7.326174557251963725e-03	8.040825929319469489e-01	8.040825929319470045e-03
7.894383417402563510e-03	7.921574069785985994e-01	7.921574069785986688e-03
8.453191813955327275e-03	7.802327636958283907e-01	7.802327636958284254e-03
9.021382597592678132e-03	7.686391494656881207e-01	7.686391494656881311e-03
9.580171990823742670e-03	7.578736505377006161e-01	7.578736505377006716e-03
1.014834220558508485e-02	7.447893202295695625e-01	7.447893202295695521e-03
1.070711014437079021e-02	7.330301914731143231e-01	7.330301914731143266e-03
1.127525729798358432e-02	7.201113756912982389e-01	7.201113756912982250e-03
1.183400133129438106e-02	7.078551606853199507e-01	7.078551606853199403e-03
1.240212293158725505e-02	6.932806569697761434e-01	6.932806569697761746e-03
1.296084060849844732e-02	6.788711251099691646e-01	6.788711251099691611e-03
1.352893416341211137e-02	6.637995351449024195e-01	6.637995351449024230e-03
1.408762303311462787e-02	6.483969161272056247e-01	6.483969161272056490e-03
1.465568605071281526e-02	6.321656391367780348e-01	6.321656391367780348e-03
1.521434366252393325e-02	6.152723040410904565e-01	6.152723040410904357e-03
1.578237365100433262e-02	5.945694214872685457e-01	5.945694214872685249e-03
1.634099755437844539e-02	5.756882840640672461e-01	5.756882840640672148e-03
1.690899202208362082e-02	5.523355410774717367e-01	5.523355410774717818e-03
1.746757976662299122e-02	5.301418339115433476e-01	5.301418339115433233e-03
1.803553622205131615e-02	5.026484058800677612e-01	5.026484058800677335e-03
1.859408535751681801e-02	4.739956164255780813e-01	4.739956164255780882e-03
1.916200130933341447e-02	4.407053812790323599e-01	4.407053812790323946e-03
1.972050938565526532e-02	4.067526538907643152e-01	4.067526538907643464e-03
2.028838234270292223e-02	3.670031193874261355e-01	3.670031193874261511e-03
2.085153979513724651e-02	3.259286004006433091e-01	3.259286004006433334e-03
2.140998168925971334e-02	2.825353585678324619e-01	2.825353585678324481e-03
2.197778548364973453e-02	2.368233938889935664e-01	2.368233938889935820e-03
2.253618019426558913e-02	1.967426132647942250e-01	1.967426132647942093e-03
2.310393476684264452e-02	1.608024091513592657e-01	1.608024091513592709e-03
2.366227984455949659e-02	1.334746041803142602e-01	1.334746041803142698e-03
2.422998270487426373e-02	1.116123602034782419e-01	1.116123602034782385e-03
2.478827570051743770e-02	9.587816946257353423e-02	9.587816946257353163e-04
2.535592435834742656e-02	8.279394768855805053e-02	8.279394768855804793e-04
2.591416282297069953e-02	7.517528690875156794e-02	7.517528690875156664e-04
2.648175478833118823e-02	6.838474143109794789e-02	6.838474143109795267e-04
2.703993627322753834e-02	6.076608065129146530e-02	6.076608065129147137e-04
2.760746905638247067e-02	5.281617375062382796e-02	5.281617375062383447e-04
2.816559111309483235e-02	4.685374357512309823e-02	4.685374357512309866e-04
2.816559111309483235e-02	4.995720045482425486e-02	4.995720045482425270e-04
2.873306222456775000e-02	4.403815154780331420e-02	4.403815154780331398e-04
2.878933861553856222e-02	4.635171027722675280e-02	4.635171027722675171e-04
2.929112240489972069e-02	4.238192094349755440e-02	4.238192094349755765e-04
2.941773672625945177e-02	4.238192094349755440e-02	4.238192094349755765e-04
2.985852935548470935e-02	3.724760607014970110e-02	3.724760607014970001e-04
3.004140552351157803e-02	3.462449185410500230e-02	3.462449185410500251e-04
