Q(Å⁻¹)	Intensity	Error
1.244547097137996793e-03	7.494656397967625061e-01	7.494656397967625582e-03
1.662001482985500742e-03	7.567447971567664577e-01	7.567447971567664577e-03
2.082061686436423396e-03	7.401067231910430921e-01	7.401067231910430852e-03
2.496899720367332532e-03	7.238152757662723591e-01	7.238152757662723660e-03
2.922168934200166171e-03	7.057906956367385742e-01	7.057906956367385534e-03
3.318733688565558664e-03	6.898458747529204738e-01	6.898458747529204876e-03
3.754426364174888106e-03	6.707814150005290132e-01	6.707814150005290618e-03
4.164022402871069700e-03	6.537967144938531261e-01	6.537967144938531226e-03
4.584045884993236813e-03	6.354255078233668197e-01	6.354255078233668301e-03
5.004060318223909308e-03	6.187874338576434541e-01	6.187874338576434576e-03
5.416238796942139319e-03	6.021493598919200885e-01	6.021493598919200850e-03
5.838841475764849388e-03	5.858579124671492444e-01	5.858579124671492791e-03
6.253606836797816031e-03	5.709529712061887086e-01	5.709529712061887398e-03
6.670968629689831737e-03	5.550081503223704971e-01	5.550081503223705005e-03
7.088317417187147904e-03	5.401032090614099612e-01	5.401032090614099612e-03
7.508260684034460258e-03	5.245050147185442713e-01	5.245050147185442886e-03
7.928189129599885060e-03	5.096000734575837354e-01	5.096000734575837493e-03
8.335061398558300458e-03	4.971215179832912390e-01	4.971215179832912633e-03
8.762782242311265013e-03	4.811766970994729720e-01	4.811766970994730240e-03
9.172229904702774994e-03	4.662717558385124916e-01	4.662717558385124847e-03
9.594699244338252692e-03	4.520600676594570544e-01	4.520600676594570787e-03
1.000932643621466230e-02	4.375017529394490956e-01	4.375017529394491060e-03
1.042654189187588662e-02	4.243299443832513895e-01	4.243299443832513999e-03
1.084373702046017088e-02	4.104648827451485849e-01	4.104648827451485606e-03
1.126612554624448204e-02	3.955599414841881045e-01	3.955599414841881080e-03
1.167545591270591383e-02	3.823881329279903429e-01	3.823881329279903585e-03
1.210040627884521706e-02	3.685230712898875383e-01	3.685230712898875625e-03
1.251229799779057621e-02	3.577776485203578716e-01	3.577776485203578664e-03
1.293198597136067420e-02	3.435659603413024898e-01	3.435659603413025037e-03
1.334643537910179360e-02	3.310874048670099379e-01	3.310874048670099309e-03
1.376607180135046814e-02	3.175689697698597103e-01	3.175689697698597016e-03
1.417786249701405432e-02	3.047437877546145812e-01	3.047437877546146055e-03
1.460005028074704350e-02	2.922652322803220848e-01	2.922652322803220761e-03
1.501439140321268045e-02	2.801333033469821099e-01	2.801333033469821134e-03
1.543130926314796418e-02	2.673081213317369809e-01	2.673081213317369739e-03
1.585080249124538876e-02	2.544829393164918518e-01	2.544829393164918779e-03
1.626505391789339477e-02	2.423510103831519047e-01	2.423510103831519151e-03
1.668448414316373030e-02	2.309123345317170839e-01	2.309123345317170856e-03
1.709867173448106903e-02	2.191270321393297138e-01	2.191270321393297329e-03
1.751803568612316647e-02	2.066484766650371618e-01	2.066484766650371601e-03
1.793476063538903056e-02	1.948631742726497362e-01	1.948631742726497423e-03
1.835145061992131746e-02	1.848110045850252237e-01	1.848110045850252228e-03
1.876550085134619239e-02	1.740655818154955292e-01	1.740655818154955266e-03
1.918472244542111446e-02	1.640134121278709889e-01	1.640134121278709854e-03
1.959869915335535687e-02	1.532679893583412944e-01	1.532679893583412892e-03
2.001784466460147793e-02	1.432158196707167819e-01	1.432158196707167914e-03
2.043434764150790783e-02	1.331636499830922138e-01	1.331636499830922069e-03
2.084820801137938009e-02	1.248446130002305171e-01	1.248446130002305206e-03
2.126463075733889263e-02	1.165255760173688343e-01	1.165255760173688343e-03
2.168101204681263314e-02	1.068200328706968572e-01	1.068200328706968598e-03
2.209995305230593940e-02	9.988750205164545481e-02	9.988750205164546175e-04
2.251364700935868171e-02	9.260834469164147542e-02	9.260834469164147542e-04
2.292989905916653290e-02	8.602244041354262238e-02	8.602244041354262238e-04
2.334610640596284162e-02	8.012978921734893734e-02	8.012978921734893517e-04
2.376486910495465357e-02	7.389051148020266135e-02	7.389051148020265962e-04
2.417838374493950365e-02	6.834448682496152561e-02	6.834448682496152821e-04
2.459445211455259933e-02	6.453159487448326126e-02	6.453159487448326256e-04
2.501047253602279793e-02	6.037207638305241292e-02	6.037207638305241942e-04
2.542904386615598908e-02	5.551930480971643128e-02	5.551930480971643215e-04
2.584496564591281728e-02	5.135978631828558988e-02	5.135978631828558901e-04
2.625823800152192120e-02	4.789352090875987483e-02	4.789352090875987375e-04
2.667665723641488712e-02	4.546713512209188401e-02	4.546713512209188553e-04
2.708982703773217884e-02	4.304074933542388626e-02	4.304074933542388647e-04
2.750814079698505124e-02	3.992111046685076214e-02	3.992111046685076496e-04
2.792120482202941831e-02	3.749472468018276439e-02	3.749472468018276590e-04
2.833940984354747089e-02	3.541496543446735062e-02	3.541496543446734976e-04
2.875236487116267919e-02	3.333520618875191605e-02	3.333520618875191735e-04
2.917045789369914974e-02	3.229532656589421263e-02	3.229532656589421198e-04
2.958589701983986922e-02	2.952231423827364476e-02	2.952231423827364628e-04
2.999868251350957388e-02	2.778918153351079418e-02	2.778918153351079678e-04
3.041660142465347702e-02	2.640267536970051024e-02	2.640267536970050850e-04
3.082667465738063786e-02	2.536279574684279989e-02	2.536279574684279772e-04
3.124706863469911902e-02	2.328303650112737919e-02	2.328303650112737886e-04
3.165961681720506210e-02	2.154990379636452860e-02	2.154990379636452936e-04
3.207729217382667558e-02	1.981677109160167108e-02	1.981677109160167173e-04
3.248971687458141605e-02	1.877689146874396073e-02	1.877689146874396094e-04
3.290726556778621192e-02	1.773701184588625038e-02	1.773701184588625016e-04
3.331956357061907625e-02	1.739038530493368026e-02	1.739038530493368080e-04
3.373698234427847942e-02	1.565725260017082621e-02	1.565725260017082588e-04
3.415174247892668186e-02	1.357749335445540724e-02	1.357749335445540702e-04
3.456384440672487235e-02	1.253761373159769169e-02	1.253761373159769082e-04
3.498106219804826555e-02	1.149773410873998133e-02	1.149773410873998139e-04
3.539302939187533720e-02	1.149773410873998133e-02	1.149773410873998139e-04
3.581010912781987243e-02	1.011122794492969913e-02	1.011122794492969989e-04
3.622193837507289849e-02	9.071348322071988782e-03	9.071348322071989107e-05
3.643689076936756921e-02	9.162579926280341180e-03	9.162579926280342048e-05
3.663887680316699896e-02	8.378095240166848548e-03	8.378095240166849036e-05
3.705056489231878247e-02	8.378095240166848548e-03	8.378095240166849036e-05
3.711011137059552767e-02	8.164693718534649092e-03	8.164693718534649634e-05
