Q(Å⁻¹)	Intensity	Error
1.199417197051017145e-03	6.308730790407306444e-01	6.308730790407306686e-03
1.611002967730247983e-03	6.333624091348547536e-01	6.333624091348548021e-03
2.009960304982190849e-03	6.211232028387443371e-01	6.211232028387443128e-03
2.419013853839752613e-03	6.063946664485097005e-01	6.063946664485096900e-03
2.820487640723180235e-03	5.922884625818061188e-01	5.922884625818061223e-03
3.227005875993296368e-03	5.777673703660818338e-01	5.777673703660818512e-03
3.628467946665478883e-03	5.646983873719300107e-01	5.646983873719300419e-03
4.034972733306781134e-03	5.497624068071850223e-01	5.497624068071850674e-03
4.436419957085845946e-03	5.354487587659710890e-01	5.354487587659710612e-03
4.840383382536568579e-03	5.205127782012261006e-01	5.205127782012260867e-03
5.244337371412204768e-03	5.066140185090328707e-01	5.066140185090328707e-03
5.650805750907522858e-03	4.925078146423293446e-01	4.925078146423293897e-03
6.052213889342263758e-03	4.806834966952394650e-01	4.806834966952395170e-03
6.456134843400078600e-03	4.676145137010876973e-01	4.676145137010877077e-03
6.862567596954708728e-03	4.547529748814461703e-01	4.547529748814461634e-03
7.266462504378410139e-03	4.412691035382736437e-01	4.412691035382736507e-03
7.667819036448047035e-03	4.294447855911838752e-01	4.294447855911838648e-03
8.074209032818210549e-03	4.174130234695836994e-01	4.174130234695837272e-03
8.475535066810290993e-03	4.037217079519008767e-01	4.037217079519008628e-03
8.881892596954031951e-03	3.900303924342179429e-01	3.900303924342179551e-03
9.283185003247528336e-03	3.757167443930040096e-01	3.757167443930040356e-03
9.689506898307199967e-03	3.616105405263004280e-01	3.616105405263004245e-03
1.009328610731204806e-02	3.472968924850864947e-01	3.472968924850865051e-03
1.049452220459854389e-02	3.319460235713208029e-01	3.319460235713208272e-03
1.089826140204573288e-02	3.155579337850034083e-01	3.155579337850034343e-03
1.130450252150058676e-02	2.997921765222170687e-01	2.997921765222170964e-03
1.170819829825639653e-02	2.831966425613893223e-01	2.831966425613893085e-03
1.211187124928051785e-02	2.680532178221339823e-01	2.680532178221339823e-03
1.251299785418010478e-02	2.529097930828786978e-01	2.529097930828786995e-03
1.291914552625542806e-02	2.377663683436233300e-01	2.377663683436233300e-03
1.331770044014758160e-02	2.257346062220232374e-01	2.257346062220232357e-03
1.372631905713834338e-02	2.157772858455266063e-01	2.157772858455266150e-03
1.412482190637646788e-02	2.087241839121747877e-01	2.087241839121747877e-03
1.453338554742792353e-02	2.012561936298022935e-01	2.012561936298023005e-03
1.493435495554475828e-02	1.912988732533056346e-01	1.912988732533056364e-03
1.534033870345755286e-02	1.776075577356227841e-01	1.776075577356227937e-03
1.574124945839761036e-02	1.618418004728363890e-01	1.618418004728363908e-03
1.614717223244442265e-02	1.442090456394569120e-01	1.442090456394569094e-03
1.654802120782510044e-02	1.259539582825463799e-01	1.259539582825463730e-03
1.695387984253859948e-02	1.064542058785737932e-01	1.064542058785737915e-03
1.735718446206498122e-02	8.840656269617361285e-02	8.840656269617361762e-04
1.775793490719974888e-02	7.305569378240793499e-02	7.305569378240793976e-04
1.816117128193766098e-02	6.123137583531817335e-02	6.123137583531817552e-04
1.856689214360788751e-02	5.334849720392499661e-02	5.334849720392499575e-04
1.896753702695440011e-02	5.106661128431117663e-02	5.106661128431118140e-04
1.937570368532082893e-02	5.251872050588360374e-02	5.251872050588359984e-04
1.977627405161750881e-02	5.563038312353880271e-02	5.563038312353879924e-04
2.017680634348557531e-02	5.583782729804915440e-02	5.583782729804915093e-04
2.058233719253074398e-02	5.168894380784221781e-02	5.168894380784221478e-04
2.098279051900025019e-02	4.276884430389730346e-02	4.276884430389730368e-04
2.138320344818574539e-02	3.073708218229718667e-02	3.073708218229718775e-04
2.179112899266581402e-02	1.808298753716602869e-02	1.808298753716603032e-04
2.219397567416661610e-02	1.020010890577284848e-02	1.020010890577284919e-04
2.259426170203269330e-02	6.258669590076258379e-03	6.258669590076257946e-05
2.299953844700863489e-02	6.881002113607298694e-03	6.881002113607299453e-05
2.339973614297446991e-02	1.185966230185562208e-02	1.185966230185562202e-04
2.380492186482971798e-02	1.994998510775914877e-02	1.994998510775914942e-04
2.420502810807328639e-02	2.762541956464198076e-02	2.762541956464198293e-04
