Q(Å⁻¹)	Intensity	Error
1.230926281653658971e-03	7.634812079221465764e-01	7.634812079221465694e-03
1.655915936962821557e-03	7.717499574664297146e-01	7.717499574664297111e-03
2.065353992424831357e-03	7.552124583778633271e-01	7.552124583778633410e-03
2.482562144095221655e-03	7.359187094412026342e-01	7.359187094412026481e-03
2.894582779521221155e-03	7.182787104133985245e-01	7.182787104133985662e-03
3.309189112517181910e-03	6.973312115678810263e-01	6.973312115678810021e-03
3.723788994079636760e-03	6.785887126008393055e-01	6.785887126008392951e-03
4.138381615924901363e-03	6.576412137553219184e-01	6.576412137553219045e-03
4.552966169783445420e-03	6.394499647578989476e-01	6.394499647578989233e-03
4.970132915775308385e-03	6.201562158212381437e-01	6.201562158212381437e-03
5.379516834828220427e-03	6.025162167934340340e-01	6.025162167934340618e-03
5.799254278172441025e-03	5.837737178263922022e-01	5.837737178263921814e-03
6.211207540543396341e-03	5.655824688289692315e-01	5.655824688289692002e-03
6.628330416819764453e-03	5.495962197100217050e-01	5.495962197100217293e-03
7.040258804300225139e-03	5.347124705303119008e-01	5.347124705303118834e-03
7.457354866415007687e-03	5.181749714417456243e-01	5.181749714417456000e-03
7.871845687519975557e-03	5.005349724139416256e-01	5.005349724139416048e-03
8.283730739669073820e-03	4.850999732646129048e-01	4.850999732646129464e-03
8.698190163076534656e-03	4.696649741152843505e-01	4.696649741152843748e-03
9.112632628917186409e-03	4.542299749659557961e-01	4.542299749659558031e-03
9.529647426027739593e-03	4.387949758166271308e-01	4.387949758166271447e-03
9.938873477079742877e-03	4.228087266976797154e-01	4.228087266976797605e-03
1.035844005595969002e-02	4.073737275483510500e-01	4.073737275483510153e-03
1.077280648339623212e-02	3.946949782471169121e-01	3.946949782471169399e-03
1.117938313008182138e-02	3.803624790370260245e-01	3.803624790370260366e-03
1.160406497638471861e-02	3.649274798876974701e-01	3.649274798876974649e-03
1.201318721244285653e-02	3.500437307079877769e-01	3.500437307079877925e-03
1.243523241209249473e-02	3.351599815282780281e-01	3.351599815282780333e-03
1.283654041113124061e-02	3.230324821966627513e-01	3.230324821966627704e-03
1.326112457851068641e-02	3.092512329561907802e-01	3.092512329561907664e-03
1.366756081476367193e-02	2.954699837157187536e-01	2.954699837157187623e-03
1.408691397733593045e-02	2.833424843841034768e-01	2.833424843841034994e-03
1.449847396883103753e-02	2.717662350221070056e-01	2.717662350221070056e-03
1.491259420908165254e-02	2.574337358120161734e-01	2.574337358120161890e-03
1.532927335314471923e-02	2.425499866323064524e-01	2.425499866323064732e-03
1.574333445108302629e-02	2.309737372703100089e-01	2.309737372703100228e-03
1.615736485658523722e-02	2.199487378779324542e-01	2.199487378779324716e-03
1.656877636880289481e-02	2.083724885159360107e-01	2.083724885159360211e-03
1.698533036164892943e-02	1.962449891843207062e-01	1.962449891843207148e-03
1.739667686726484308e-02	1.841174898527053461e-01	1.841174898527053435e-03
1.781316341169446663e-02	1.725412404907089303e-01	1.725412404907089364e-03
1.822702824866606966e-02	1.615162410983313757e-01	1.615162410983313852e-03
1.863568490744637110e-02	1.526962415844292931e-01	1.526962415844293009e-03
1.905723660228943531e-02	1.427737421312894883e-01	1.427737421312894831e-03
1.946323461028781968e-02	1.317487427389119337e-01	1.317487427389119319e-03
1.988212418385184449e-02	1.229287432250098649e-01	1.229287432250098693e-03
2.029321790878299558e-02	1.163137435895833377e-01	1.163137435895833386e-03
2.070944281065026371e-02	1.085962440149190328e-01	1.085962440149190310e-03
2.112045709840082441e-02	1.003274944706358668e-01	1.003274944706358677e-03
2.153659994105355108e-02	9.205874492635267303e-02	9.205874492635267173e-04
2.195270027052885140e-02	8.654624523016389570e-02	8.654624523016389613e-04
2.235842097719011393e-02	7.993124559473736845e-02	7.993124559473736542e-04
2.277960251734561029e-02	7.552124583778632716e-02	7.552124583778633410e-04
2.318782039474943241e-02	6.890624620235979991e-02	6.890624620235980338e-04
2.360374389322893174e-02	6.449624644540877250e-02	6.449624644540877206e-04
2.401703785711675060e-02	6.118874662769550193e-02	6.118874662769550670e-04
2.442770235099470805e-02	5.788124680998222443e-02	5.788124680998223050e-04
2.484090216452485705e-02	5.402249702265007891e-02	5.402249702265007674e-04
2.525663559162175803e-02	4.961249726569905150e-02	4.961249726569905627e-04
2.566715570029576982e-02	4.630499744798578093e-02	4.630499744798578007e-04
2.608537064303136088e-02	4.409999756951026723e-02	4.409999756951026983e-04
2.649062798007198113e-02	4.244624766065363541e-02	4.244624766065363715e-04
2.691132023522746844e-02	4.024124778217812171e-02	4.024124778217812149e-04
2.731647541449554184e-02	3.803624790370260106e-02	3.803624790370260041e-04
2.773447986443695196e-02	3.638249799484596925e-02	3.638249799484596773e-04
2.814468959648205870e-02	3.417749811637045554e-02	3.417749811637045749e-04
