Q(Å⁻¹)	Intensity	Error
1.218781624863327908e-03	7.210644241297842205e-01	7.210644241297842379e-03
1.633573309987166938e-03	7.136465859604863571e-01	7.136465859604863675e-03
2.038120086754774841e-03	6.907996443990486179e-01	6.907996443990486318e-03
2.452904524247588591e-03	6.664691352037513949e-01	6.664691352037514088e-03
2.857442654976370417e-03	6.430287665887699511e-01	6.430287665887699823e-03
3.272216610265793729e-03	6.207752520808760277e-01	6.207752520808760242e-03
3.679303212065320253e-03	5.982250240462102520e-01	5.982250240462103075e-03
4.088942954725035932e-03	5.750813689580006605e-01	5.750813689580006396e-03
4.498574725781231097e-03	5.525311409233349957e-01	5.525311409233350096e-03
4.908197726635806640e-03	5.311677669957568515e-01	5.311677669957568480e-03
5.320371210889564446e-03	5.112879607020384132e-01	5.112879607020384340e-03
5.727414223434751719e-03	4.922982949886356430e-01	4.922982949886356430e-03
6.139566034851686588e-03	4.724184886949171491e-01	4.724184886949171422e-03
6.546586056707066198e-03	4.555058176689178451e-01	4.555058176689178763e-03
6.958712981244556672e-03	4.374062925358308540e-01	4.374062925358308818e-03
7.368266504126442032e-03	4.207903350366034578e-01	4.207903350366034613e-03
7.775246088715109458e-03	4.018006693232007431e-01	4.018006693232007570e-03
8.187329657034916192e-03	3.857781388775171627e-01	3.857781388775171575e-03
8.594278316264353582e-03	3.694588949050616744e-01	3.694588949050616692e-03
9.003769696739487294e-03	3.531396509326062416e-01	3.531396509326062676e-03
9.415802678448978447e-03	3.380072610672383848e-01	3.380072610672383779e-03
9.822698999470341058e-03	3.219847306215548044e-01	3.219847306215548217e-03
1.023213532518147707e-02	3.068523407561870031e-01	3.068523407561870187e-03
1.064411049077562330e-02	2.923133779443630731e-01	2.923133779443630800e-03
1.105094733421139487e-02	2.789612692396267191e-01	2.789612692396267399e-03
1.146287993983268957e-02	2.656091605348904761e-01	2.656091605348904865e-03
1.186967316573409731e-02	2.519603383033822142e-01	2.519603383033822142e-03
1.228155999904933203e-02	2.383115160718740355e-01	2.383115160718740286e-03
1.268830643516108414e-02	2.252561208939096449e-01	2.252561208939096640e-03
1.309758636410079426e-02	2.130908662962610334e-01	2.130908662962610525e-03
1.350939851661983951e-02	2.006288981718404585e-01	2.006288981718404654e-03
1.391351122890496610e-02	1.893537841545075706e-01	1.893537841545075854e-03
1.432782717186975065e-02	1.768918160300870512e-01	1.768918160300870634e-03
1.473444275734583052e-02	1.650232749592103476e-01	1.650232749592103407e-03
1.514614409584521745e-02	1.543415879954213032e-01	1.543415879954213032e-03
1.555270179167383623e-02	1.442533280851760746e-01	1.442533280851760868e-03
1.596434290714648235e-02	1.344617817017028094e-01	1.344617817017028025e-03
1.637339602660735707e-02	1.243735217914576086e-01	1.243735217914576077e-03
1.678241722529486002e-02	1.151754024615281452e-01	1.151754024615281443e-03
1.719140570580122290e-02	1.065707101851425392e-01	1.065707101851425453e-03
1.760036067078247710e-02	9.885615848907267078e-02	9.885615848907267772e-04
1.800928132296000100e-02	9.025146621268705094e-02	9.025146621268705701e-04
1.841305601579912993e-02	8.224020098984527460e-02	8.224020098984527894e-04
1.882701650012533548e-02	7.482236282054732790e-02	7.482236282054733267e-04
1.923327446570803623e-02	6.918480581188088396e-02	6.918480581188088179e-04
1.964460486043405688e-02	6.295382174967062427e-02	6.295382174967062081e-04
2.005589647677472054e-02	5.612941063391650720e-02	5.612941063391650633e-04
2.045437730447056610e-02	5.167870773233774334e-02	5.167870773233774074e-04
2.087325215901967082e-02	4.633786425044322116e-02	4.633786425044322203e-04
2.127676189770373941e-02	4.218387487563637211e-02	4.218387487563637233e-04
2.168789159975913899e-02	3.951345313468911102e-02	3.951345313468911298e-04
2.209387208645067699e-02	3.506275023311034023e-02	3.506275023311034196e-04
2.250491590025039193e-02	3.239232849216308607e-02	3.239232849216308802e-04
2.291336263695500572e-02	2.942519322444391017e-02	2.942519322444391277e-04
2.332176470288668466e-02	2.764491206381240393e-02	2.764491206381240653e-04
2.372756921594057836e-02	2.556791737640897941e-02	2.556791737640897897e-04
2.413587984342925596e-02	2.438106326932130627e-02	2.438106326932130725e-04
2.454414341678513856e-02	2.260078210868980003e-02	2.260078210868980101e-04
