Q(Å⁻¹)	Intensity	Error
1.246147100380093527e-03	7.502686906525968258e-01	7.502686906525968605e-03
1.670252161643064493e-03	7.580348993727054063e-01	7.580348993727054410e-03
2.086500184560268790e-03	7.437450753277055071e-01	7.437450753277055279e-03
2.507979935079113556e-03	7.254168227482490350e-01	7.254168227482490384e-03
2.926836895940618504e-03	7.101950536568358840e-01	7.101950536568359292e-03
3.343070349846202424e-03	6.931093944725968958e-01	6.931093944725969479e-03
3.761915125401166671e-03	6.763343836371620288e-01	6.763343836371620184e-03
4.180752566910096377e-03	6.586274277553142431e-01	6.586274277553142396e-03
4.599581857827968537e-03	6.418524169198794871e-01	6.418524169198794836e-03
5.021019778734938342e-03	6.266306478284664472e-01	6.266306478284664611e-03
5.437212721791485383e-03	6.107875820394448318e-01	6.107875820394448145e-03
5.858630126408760283e-03	5.952551645992273377e-01	5.952551645992273932e-03
6.274801185277975243e-03	5.797227471590100656e-01	5.797227471590100586e-03
6.693577475677062009e-03	5.645009780675970257e-01	5.645009780675970361e-03
7.112340716604348759e-03	5.499005056737926722e-01	5.499005056737927243e-03
7.531090091659469778e-03	5.365426266752056916e-01	5.365426266752056604e-03
7.952441828413663386e-03	5.219421542814014492e-01	5.219421542814014353e-03
8.368543978688509563e-03	5.067203851899882983e-01	5.067203851899883260e-03
8.789863697979627410e-03	4.927412094937927423e-01	4.927412094937927249e-03
9.205932606130538126e-03	4.784513854487927320e-01	4.784513854487927251e-03
9.627217022422770651e-03	4.657148031478144934e-01	4.657148031478145454e-03
1.004324944386082719e-02	4.511143307540101954e-01	4.511143307540102336e-03
1.046449527189367498e-02	4.371351550578145284e-01	4.371351550578145458e-03
1.088048796231447408e-02	4.228453310128145737e-01	4.228453310128145459e-03
1.129907581148913674e-02	4.097981003630319918e-01	4.097981003630319675e-03
1.172025759793472559e-02	3.970615180620536977e-01	3.970615180620537012e-03
1.213880042949918442e-02	3.837036390634667726e-01	3.837036390634667674e-03
1.255470392623691221e-02	3.712777051112928772e-01	3.712777051112928998e-03
1.297581428106584292e-02	3.569878810662929225e-01	3.569878810662929433e-03
1.339166831583330289e-02	3.445619471141190271e-01	3.445619471141190323e-03
1.381272694462616982e-02	3.321360131619451317e-01	3.321360131619451213e-03
1.422852827451006295e-02	3.187781341633582066e-01	3.187781341633582309e-03
1.464953189376709888e-02	3.047989584671625396e-01	3.047989584671625431e-03
1.506527727626512554e-02	2.929943212125973306e-01	2.929943212125973428e-03
1.548622260291553782e-02	2.805683872604234352e-01	2.805683872604234318e-03
1.590190879596169518e-02	2.687637500058582263e-01	2.687637500058582315e-03
1.632017846118190979e-02	2.547845743096626148e-01	2.547845743096626304e-03
