Q(Å⁻¹)	Intensity	Error
1.199837720563407375e-03	7.161054294100278605e-01	7.161054294100278883e-03
1.608182168686713136e-03	7.211939005689623761e-01	7.211939005689623795e-03
2.008961562109584219e-03	7.110169582510934561e-01	7.110169582510934838e-03
2.414778261415722205e-03	6.995962415280589930e-01	6.995962415280589965e-03
2.815549084433328908e-03	6.878361451937253790e-01	6.878361451937253616e-03
3.221355523218771225e-03	6.752846571020389987e-01	6.752846571020390543e-03
3.619594173866234627e-03	6.627331690103525075e-01	6.627331690103524867e-03
4.027907664244346868e-03	6.484855238656878074e-01	6.484855238656878421e-03
4.426131592060487258e-03	6.360470388105148309e-01	6.360470388105148726e-03
4.831908073000027240e-03	6.233821771805558853e-01	6.233821771805559200e-03
5.235154755279538240e-03	6.109436921253827979e-01	6.109436921253827771e-03
5.640911425585566109e-03	5.980528244223971557e-01	5.980528244223971487e-03
6.041616715102183718e-03	5.855013363307105534e-01	5.855013363307105811e-03
6.447350467373860229e-03	5.728368452025107693e-01	5.728368452025107624e-03
6.848031561184052436e-03	5.601719835725518237e-01	5.601719835725518098e-03
7.251219351373700689e-03	5.473944894078385248e-01	5.473944894078385665e-03
7.656912794169004957e-03	5.335988564092275510e-01	5.335988564092275337e-03
8.057551735875825155e-03	5.199165969488889205e-01	5.199165969488889726e-03
8.460694758202052732e-03	5.053295721929251805e-01	5.053295721929251805e-03
8.863821285970917979e-03	4.908559209752336727e-01	4.908559209752336866e-03
9.266930533266624914e-03	4.770602879766226989e-01	4.770602879766227405e-03
9.672540975625148682e-03	4.630390194067439125e-01	4.630390194067439055e-03
1.007309404294536720e-02	4.502611547402715630e-01	4.502611547402716151e-03
1.047614673367138968e-02	4.391794471267774225e-01	4.391794471267774017e-03
1.087917900061329164e-02	4.290025048089085580e-01	4.290025048089085927e-03
1.128219005803904502e-02	4.174687850493607466e-01	4.174687850493607674e-03
1.168769773108005623e-02	4.040125316620489793e-01	4.040125316620489689e-03
1.209066386759361650e-02	3.884081090757054988e-01	3.884081090757055248e-03
1.249612474799856668e-02	3.720119242302500906e-01	3.720119242302501010e-03
1.288897015339276683e-02	3.538063569942476727e-01	3.538063569942476606e-03
1.329941770674585369e-02	3.332263180847795381e-01	3.332263180847795311e-03
1.369976700716388218e-02	3.129855105859069564e-01	3.129855105859069737e-03
1.410260760114613425e-02	2.919531631289779550e-01	2.919531631289779515e-03
1.450542070137323877e-02	2.706946613983185479e-01	2.706946613983185479e-03
1.491072283709701969e-02	2.518107795418285111e-01	2.518107795418284955e-03
1.531096127939813624e-02	2.376761374336772981e-01	2.376761374336773189e-03
1.571620412816053178e-02	2.300999692637082372e-01	2.300999692637082424e-03
1.611638245947132758e-02	2.285168893475953145e-01	2.285168893475953127e-03
1.652156286110720296e-02	2.254638066522346440e-01	2.254638066522346440e-03
1.692167796075666128e-02	2.153999414712310101e-01	2.153999414712310257e-03
1.732427661935922666e-02	1.968552910253366095e-01	1.968552910253366321e-03
1.772684150339804560e-02	1.733352465573729795e-01	1.733352465573729812e-03
1.813188753225799740e-02	1.463098108465878400e-01	1.463098108465878339e-03
1.853186680856843890e-02	1.195105294095331339e-01	1.195105294095331330e-03
1.893432566026199276e-02	9.384201934113052535e-02	9.384201934113052318e-04
1.933926261790759257e-02	7.201813192614504866e-02	7.201813192614504693e-04
1.974164662010627000e-02	5.618733276501568230e-02	5.618733276501568490e-04
2.014399213495467883e-02	4.906347314250746744e-02	4.906347314250746874e-04
2.054629837805965753e-02	5.222963297473333377e-02	5.222963297473333898e-04
2.094605052744699311e-02	6.161503533454574383e-02	6.161503533454574816e-04
2.135078991185097169e-02	7.032197487316689533e-02	7.032197487316689402e-04
2.175297363413990562e-02	7.077428342062773436e-02	7.077428342062773263e-04
2.215511494789363864e-02	6.093657251335448527e-02	6.093657251335448484e-04
2.255470009161042455e-02	4.363577057297739897e-02	4.363577057297740006e-04
2.295675451367975087e-02	2.554342867454384436e-02	2.554342867454384501e-04
2.335876418038146038e-02	1.039109233460574003e-02	1.039109233460574089e-04
2.376324043892747914e-02	3.041078438367108248e-03	3.041078438367108479e-05
2.416264611281713701e-02	3.945695533288786326e-03	3.945695533288786706e-05
2.456451681134214776e-02	1.287878934564035301e-02	1.287878934564035322e-04
2.496633962008466476e-02	2.554342867454384436e-02	2.554342867454384501e-04
2.537062468931650452e-02	3.752960518225607195e-02	3.752960518225607347e-04
2.576983843482062719e-02	4.386192484670781849e-02	4.386192484670781936e-04
2.617402317997222227e-02	4.250499920432530138e-02	4.250499920432530354e-04
2.657313629117985174e-02	3.481575389749104465e-02	3.481575389749104726e-04
2.697721756033737497e-02	2.271650025291360037e-02	2.271650025291360102e-04
2.737622692488430459e-02	1.027801519774053027e-02	1.027801519774052989e-04
2.778020156694083892e-02	2.701847027771478969e-03	2.701847027771479186e-05
2.818161272319446436e-02	2.475692754041059884e-03	2.475692754041059884e-05
2.858046063384383009e-02	1.073032374520137104e-02	1.073032374520137120e-04
2.897925351973448110e-02	2.429958016902653700e-02	2.429958016902653885e-04
2.938300581541980830e-02	3.866037655090816955e-02	3.866037655090816998e-04
2.978670010914832855e-02	4.849808745818141864e-02	4.849808745818141777e-04
3.018532186241401280e-02	5.211655583786813095e-02	5.211655583786813746e-04
3.058889850687662379e-02	4.895039600564225768e-02	4.895039600564225638e-04
3.098489638929015355e-02	4.069576501448194522e-02	4.069576501448194370e-04
3.139085836622970693e-02	2.893574278050013368e-02	2.893574278050013455e-04
3.178924152800591263e-02	1.672341199905748657e-02	1.672341199905748679e-04
3.219257343336348609e-02	6.546469681188609932e-03	6.546469681188610040e-05
3.259083263891586479e-02	1.344921385388962286e-03	1.344921385388962354e-05
3.299153327878212583e-02	1.457998522254172046e-03	1.457998522254172006e-05
3.339467337307881756e-02	6.546469681188609932e-03	6.546469681188610040e-05
3.379274082140674290e-02	1.412263785115766210e-02	1.412263785115766210e-04
3.419574911174388249e-02	2.169880602112671253e-02	2.169880602112671416e-04
3.459368484145017297e-02	2.599573722200467993e-02	2.599573722200467819e-04
3.499655818508817101e-02	2.723958572752199075e-02	2.723958572752199249e-04
3.520172183246587927e-02	2.528538473050589291e-02	2.528538473050589465e-04
3.539686077066057923e-02	2.520419726394821508e-02	2.520419726394821335e-04
3.579459310429437824e-02	2.000264896814856613e-02	2.000264896814856668e-04
3.585212102504010956e-02	1.668594373026174166e-02	1.668594373026174263e-04
3.619475733220780395e-02	1.367032930369682132e-02	1.367032930369682078e-04
3.650233564974136868e-02	7.870203459440120591e-03	7.870203459440120266e-05
3.659735135846255150e-02	8.355703871031966087e-03	8.355703871031965816e-05
3.699737323096036201e-02	4.850312628210464404e-03	4.850312628210464593e-05
3.715236235924383734e-02	3.281568933618142329e-03	3.281568933618142194e-05
3.739732297518590098e-02	3.493386985827946854e-03	3.493386985827946745e-05
3.779470080921275982e-02	4.058772670153996086e-03	4.058772670153996357e-05
3.780219780718911682e-02	4.845103660935261292e-03	4.845103660935261481e-05
3.819700296007236956e-02	6.320315407458190413e-03	6.320315407458190738e-05
3.845183864820337499e-02	8.658150802258035919e-03	8.658150802258035973e-05
3.859423357031935287e-02	8.468781007897175847e-03	8.468781007897175468e-05
3.899638507705678603e-02	1.016493806087532224e-02	1.016493806087532295e-04
3.910128153791466582e-02	1.093238313290111757e-02	1.093238313290111746e-04
3.939346536583980540e-02	1.118263229266221008e-02	1.118263229266220981e-04
3.975052313297010309e-02	9.180359041223634664e-03	9.180359041223635531e-05
3.979296645373405633e-02	9.825706650279691229e-03	9.825706650279691283e-05
4.019488611455281774e-02	7.451086776110288877e-03	7.451086776110288606e-05
4.039956009105303419e-02	5.228262368815345465e-03	5.228262368815345546e-05
