Q(Å⁻¹)	Intensity	Error
1.204049348160553994e-03	6.484727638882998857e-01	6.484727638882998614e-03
1.613827152409761864e-03	6.440255965836579888e-01	6.440255965836579749e-03
2.016013347373190202e-03	6.253474939041619995e-01	6.253474939041619822e-03
2.420725095583350570e-03	6.022222239200240024e-01	6.022222239200240163e-03
2.825432124466069946e-03	5.804311041272784966e-01	5.804311041272785035e-03
3.232663010547506214e-03	5.590847010649973026e-01	5.590847010649973442e-03
3.634828868271673848e-03	5.386277314636445102e-01	5.386277314636445449e-03
4.039517005234190099e-03	5.181707618622916067e-01	5.181707618622916588e-03
4.446726492164296968e-03	4.968243588000104127e-01	4.968243588000104127e-03
4.846339695529090774e-03	4.781462561205143125e-01	4.781462561205143333e-03
5.256060115906420645e-03	4.585787199800898106e-01	4.585787199800898072e-03
5.658182911270437897e-03	4.412347674919863683e-01	4.412347674919863544e-03
6.065352751835929868e-03	4.234460982734186696e-01	4.234460982734187216e-03
6.467452834414890751e-03	4.069915792462435733e-01	4.069915792462435421e-03
6.874598088926275191e-03	3.887581932972116738e-01	3.887581932972116860e-03
7.274143597261298853e-03	3.731931077309649236e-01	3.731931077309649097e-03
7.686318450037765010e-03	3.571833054342540281e-01	3.571833054342540403e-03
8.083306528113674491e-03	3.429523700593998803e-01	3.429523700593998907e-03
8.492921624376753922e-03	3.269425677626889293e-01	3.269425677626889345e-03
8.894934755487981376e-03	3.109327654659780338e-01	3.109327654659780216e-03
9.299458982494259590e-03	2.958123966301954844e-01	2.958123966301955121e-03
9.703965079729400325e-03	2.815814612553413365e-01	2.815814612553413625e-03
1.011098024230819986e-02	2.673505258804871887e-01	2.673505258804872130e-03
1.051291973050180392e-02	2.522301570447046393e-01	2.522301570447046601e-03
1.091989443443652265e-02	2.384439384003146922e-01	2.384439384003146905e-03
1.132431999140613883e-02	2.237682862949963714e-01	2.237682862949963609e-03
1.172366856702143634e-02	2.099820676506063966e-01	2.099820676506063914e-03
1.213310408491623076e-02	1.966405657366806226e-01	1.966405657366806451e-03
1.253493388877621566e-02	1.832990638227548763e-01	1.832990638227548772e-03
1.294179356204338757e-02	1.699575619088291023e-01	1.699575619088291092e-03
1.334357400814551071e-02	1.575054934558317299e-01	1.575054934558317229e-03
1.374785544096871273e-02	1.468322919246911051e-01	1.468322919246910999e-03
1.415211007164425203e-02	1.370485238544788820e-01	1.370485238544788802e-03
1.455633711205704499e-02	1.254858888624098834e-01	1.254858888624098756e-03
1.496306192489018846e-02	1.161468375226618333e-01	1.161468375226618359e-03
1.536723123588156110e-02	1.076972196438421847e-01	1.076972196438421778e-03
1.576884481138410982e-02	1.010264686868792977e-01	1.010264686868793046e-03
1.617295361069384999e-02	9.524515119084479842e-02	9.524515119084480232e-04
1.657703088000295893e-02	8.679553331202513600e-02	8.679553331202513339e-04
1.698360100920849949e-02	7.968006562459806208e-02	7.968006562459805861e-04
1.738508767760503504e-02	7.211988120670680125e-02	7.211988120670680385e-04
1.779159038452162930e-02	6.633856371067230195e-02	6.633856371067230152e-04
1.819300890280110480e-02	5.788894583185265341e-02	5.788894583185265428e-04
1.859691670685048939e-02	4.943932795303299793e-02	4.943932795303299620e-04
1.900078825525915519e-02	4.187914353514173016e-02	4.187914353514173059e-04
1.940462276065884131e-02	3.654254276957142472e-02	3.654254276957142450e-04
1.981094304435880582e-02	3.342952565632208162e-02	3.342952565632208335e-04
2.021217749332093402e-02	3.120594200400111928e-02	3.120594200400111842e-04
2.061841926223023647e-02	3.031650854307273504e-02	3.031650854307273678e-04
2.101957460736273570e-02	2.898235835168016042e-02	2.898235835168015890e-04
2.142573469352645685e-02	2.942707508214434733e-02	2.942707508214434972e-04
2.182933014678107089e-02	3.076122527353692890e-02	3.076122527353692760e-04
2.223036097082487297e-02	3.165065873446530620e-02	3.165065873446530923e-04
2.263639259435490381e-02	2.853764162121596309e-02	2.853764162121596266e-04
2.303733649505414552e-02	2.542462450796661652e-02	2.542462450796661609e-04
2.344075728175782150e-02	2.142217393378889265e-02	2.142217393378889330e-04
2.384665331844857544e-02	1.875387355100373646e-02	1.875387355100373754e-04
2.424746097189745334e-02	1.608557316821858027e-02	1.608557316821858179e-04
2.465326266063970484e-02	1.386198951589761967e-02	1.386198951589761956e-04
2.505397557546562223e-02	1.475142297682600391e-02	1.475142297682600391e-04
2.545716000430056983e-02	1.519613970729019430e-02	1.519613970729019473e-04
2.586029480309944700e-02	1.964330701193212070e-02	1.964330701193212189e-04
2.626589830313584908e-02	2.275632412518146727e-02	2.275632412518146846e-04
2.666893116168299327e-02	2.497990777750242614e-02	2.497990777750242527e-04
2.707191202778418820e-02	2.586934123843081385e-02	2.586934123843081233e-04
2.747484011580761734e-02	2.409047431657404190e-02	2.409047431657404363e-04
2.787519684240790871e-02	2.186689066425308303e-02	2.186689066425308412e-04
2.828053481560990554e-02	1.964330701193212070e-02	1.964330701193212189e-04
2.868078274797784821e-02	1.519613970729019430e-02	1.519613970729019473e-04
2.908349222138834761e-02	9.859538941719888858e-03	9.859538941719888641e-05
2.948614499504256456e-02	7.191238558934736139e-03	7.191238558934736952e-05
2.988874028394830282e-02	7.635955289398929126e-03	7.635955289398929126e-05
3.029379297471491983e-02	7.635955289398929126e-03	7.635955289398929126e-05
3.029882431077264918e-02	8.076445777297307921e-03	8.076445777297308029e-05
3.069375526810751154e-02	8.970105480791504618e-03	8.970105480791504293e-05
3.094024352143867271e-02	1.358988662157775695e-02	1.358988662157775652e-04
3.109868831741392434e-02	1.030425567218408271e-02	1.030425567218408353e-04
3.149853089619741170e-02	1.163840586357665907e-02	1.163840586357665869e-04
3.158150951803338075e-02	1.546743674692731448e-02	1.546743674692731534e-04
3.190334114629435336e-02	1.430670624636181526e-02	1.430670624636181580e-04
3.222010527929725782e-02	1.628700227783386884e-02	1.628700227783386949e-04
3.230557465708852605e-02	1.475142297682600391e-02	1.475142297682600391e-04
3.270523181790783995e-02	1.208312259404084946e-02	1.208312259404084951e-04
3.285854273763069017e-02	1.266601275037400678e-02	1.266601275037400798e-04
3.310985195051223406e-02	1.030425567218408271e-02	1.030425567218408353e-04
3.349933133080579273e-02	7.763520756405714422e-03	7.763520756405713989e-05
3.350938160339416577e-02	8.080672019863122113e-03	8.080672019863122655e-05
3.391135889565750905e-02	5.412371637077966792e-03	5.412371637077966900e-05
3.413744211967971454e-02	2.771621613611253108e-03	2.771621613611253081e-05
3.431327007599143525e-02	4.967654906613775539e-03	4.967654906613775404e-05
3.471762567562747953e-02	2.744071254292813639e-03	2.744071254292813856e-05
3.478040768531153598e-02	1.519921530044880849e-03	1.519921530044880815e-05
3.511689096681584049e-02	2.299354523828621086e-03	2.299354523828621004e-05
3.541566796610425005e-02	2.741819230669196791e-03	2.741819230669196764e-05
3.552110956957654775e-02	2.299354523828621086e-03	2.299354523828621004e-05
3.592023800907025166e-02	4.522938176149583420e-03	4.522938176149583230e-05
3.605577537070991240e-02	5.438934886925307806e-03	5.438934886925307697e-05
3.632180687919218942e-02	5.857088367542159779e-03	5.857088367542159752e-05
3.669319505736264725e-02	6.601227821665511114e-03	6.601227821665510843e-05
3.672581407664696901e-02	5.857088367542159779e-03	5.857088367542159752e-05
3.712473140303178959e-02	6.301805098006351899e-03	6.301805098006352604e-05
3.733294292017318161e-02	5.483638461338393583e-03	5.483638461338393528e-05
3.752357725473275812e-02	4.522938176149583420e-03	4.522938176149583230e-05
3.792987419487072603e-02	3.633504715221199180e-03	3.633504715221199559e-05
3.797501363477095299e-02	3.248459740684156785e-03	3.248459740684156866e-05
3.832606609632990130e-02	3.188787984757006193e-03	3.188787984757006030e-05
3.860937388641688672e-02	9.983798285588922627e-04	9.983798285588922153e-06
3.873221251330076498e-02	2.744071254292813639e-03	2.744071254292813856e-05
3.912825606356473002e-02	1.409921062900237063e-03	1.409921062900237165e-05
3.924855839402854180e-02	1.326206040921513703e-03	1.326206040921513737e-05
3.953424879015714211e-02	2.744071254292813639e-03	2.744071254292813856e-05
3.988754854533461264e-02	3.606088335988834759e-03	3.606088335988834705e-05
3.993264630611458033e-02	3.633504715221199180e-03	3.633504715221199559e-05
4.033597677099986373e-02	5.412371637077966792e-03	5.412371637077966900e-05
4.052383649684463546e-02	6.258500417831862166e-03	6.258500417831861840e-05
4.073421877721732087e-02	6.301805098006351899e-03	6.301805098006352604e-05
4.113739020379308942e-02	6.301805098006351899e-03	6.301805098006352604e-05
4.116242923697696621e-02	8.523481521428155280e-03	8.523481521428155497e-05
4.153547359469938333e-02	6.746521828470544019e-03	6.746521828470544778e-05
4.180081814343990926e-02	8.001939819942165827e-03	8.001939819942165881e-05
4.193597993062644219e-02	7.191238558934736139e-03	7.191238558934736952e-05
4.233640451021476736e-02	7.635955289398929126e-03	7.635955289398929126e-05
4.243399552019143373e-02	6.064784928708494803e-03	6.064784928708495101e-05
4.273924842940089730e-02	5.412371637077966792e-03	5.412371637077966900e-05
4.307447037587533445e-02	2.786522805082281267e-03	2.786522805082281240e-05
4.313700527794328554e-02	3.188787984757006193e-03	3.188787984757006030e-05
4.353717990527132542e-02	2.299354523828621086e-03	2.299354523828621004e-05
4.370722846505246950e-02	1.326206040921513703e-03	1.326206040921513737e-05
4.393726965463933681e-02	1.409921062900237063e-03	1.409921062900237165e-05
4.433727374605189731e-02	3.188787984757006193e-03	3.188787984757006030e-05
4.434477299965335767e-02	1.311304849450485111e-03	1.311304849450485070e-05
4.473969061156977955e-02	2.744071254292813639e-03	2.744071254292813856e-05
4.498209794182576188e-02	2.965337102734620037e-03	2.965337102734620159e-05
4.513702183586537631e-02	4.522938176149583420e-03	4.522938176149583230e-05
4.553926238701375140e-02	4.522938176149583420e-03	4.522938176149583230e-05
4.561920013557809600e-02	6.645931396078596023e-03	6.645931396078596674e-05
4.593891549271097996e-02	5.857088367542159779e-03	5.857088367542159752e-05
4.625357931725092991e-02	7.554904075811318467e-03	7.554904075811318413e-05
4.633847903814176244e-02	7.191238558934736139e-03	7.191238558934736952e-05
4.673295939000613602e-02	8.525388750327314233e-03	8.525388750327314829e-05
4.688773124711666240e-02	7.838026713760855649e-03	7.838026713760856137e-05
4.713733433250181376e-02	7.635955289398929126e-03	7.635955289398929126e-05
4.752414810428353537e-02	5.453836078396336398e-03	5.453836078396336534e-05
4.753412924731363620e-02	5.412371637077966792e-03	5.412371637077966900e-05
4.793582204045985368e-02	4.078221445685390432e-03	4.078221445685390378e-05
4.815783525919931779e-02	2.816325188024337584e-03	2.816325188024337557e-05
4.879377923445655379e-02	9.536762541458074617e-04	9.536762541458074008e-06
4.942948158609612730e-02	4.172333611887907713e-04	4.172333611887908119e-06
5.006493916616139295e-02	1.177194126211231033e-03	1.177194126211231135e-05
5.069516776407632930e-02	1.862648933878530231e-03	1.862648933878530326e-05
5.133261788653907531e-02	2.995139485676676788e-03	2.995139485676676815e-05
5.196483473917138524e-02	3.159052591857987400e-03	3.159052591857987237e-05
5.259679627961437454e-02	1.892451316820586765e-03	1.892451316820586643e-05
5.323347240962855720e-02	1.251700083566372260e-03	1.251700083566372266e-05
5.386491194062383026e-02	8.493679138486098096e-04	8.493679138486097825e-06
5.449857123740386305e-02	1.162292934740202874e-03	1.162292934740202976e-05
5.512699395875513692e-02	1.892451316820586765e-03	1.892451316820586643e-05
5.576011252573358917e-02	2.339487060951433908e-03	2.339487060951434111e-05
5.639295497226552711e-02	1.922253699762643299e-03	1.922253699762643299e-05
5.702303807406770148e-02	1.430514381218711247e-03	1.430514381218711355e-05
5.765284101185576965e-02	5.215417014859884777e-04	5.215417014859885149e-06
5.828731640698263383e-02	1.937154891233671457e-04	1.937154891233671627e-06
5.891654746813945742e-02	8.791702967906663436e-04	8.791702967906664384e-06
5.954796463401178935e-02	1.728538210639276153e-03	1.728538210639276221e-05
6.017908692224057526e-02	2.995139485676676788e-03	2.995139485676676815e-05
6.080743797291059127e-02	3.606088335988834759e-03	3.606088335988834705e-05
6.143796231848686062e-02	3.069645443031818015e-03	3.069645443031818286e-05
6.206324071625227146e-02	1.952056082704699616e-03	1.952056082704699616e-05
6.269315589022801671e-02	9.536762541458074617e-04	9.536762541458074008e-06
6.332029218404934545e-02	1.788142976523389059e-04	1.788142976523389194e-06
6.394958457118612993e-02	3.129250208915930649e-04	3.129250208915930666e-06
6.457856028414407645e-02	1.013281020029920421e-03	1.013281020029920374e-05
6.520475151955078263e-02	2.324585869480405749e-03	2.324585869480405952e-05
6.583308581415422966e-02	1.862648933878530231e-03	1.862648933878530326e-05
6.645863197073501039e-02	2.101067997414982503e-03	2.101067997414982557e-05
6.708631244987670050e-02	1.281502466508429010e-03	1.281502466508429092e-05
6.771120118553454470e-02	1.102688168856089806e-03	1.102688168856089834e-05
6.833821546500710997e-02	4.172333611887907713e-04	4.172333611887908119e-06
6.896243445061601973e-02	2.980238294205648521e-04	2.980238294205648657e-06
6.958877015935621690e-02	4.768381270729037309e-04	4.768381270729037004e-06
7.021230707900448509e-02	7.748619564934685830e-04	7.748619564934686508e-06
7.083795185933737526e-02	8.046643394355251170e-04	8.046643394355251373e-06
7.146079441057048842e-02	6.556524247252425554e-04	6.556524247252425351e-06
7.208573591845325590e-02	5.066405100149602107e-04	5.066405100149601869e-06
7.271276910687708706e-02	4.619369356018755181e-04	4.619369356018755418e-06
