BetaPara	BetaPerp	DeltaPara	DeltaPerp	Delta	Beta	Energy
0.00168755	0.00150576	0.00220243	0.00186504	0.00213111	0.00166033	306.3
0.00168249	0.00150152	0.00220195	0.00186388	0.0021306	0.00165542	306.35
0.00167744	0.0014973	0.0022015	0.00186235	0.00213006	0.00165051	306.4
0.00167236	0.00149334	0.00220115	0.00186011	0.00212946	0.00164562	306.45
0.00166704	0.00149064	0.00220075	0.00185785	0.00212882	0.00164076	306.5
0.00166167	0.00148821	0.00220017	0.00185618	0.00212815	0.00163591	306.55
0.00165631	0.00148581	0.00219947	0.0018548	0.00212743	0.00163107	306.6
0.00165097	0.00148342	0.00219867	0.00185356	0.00212666	0.00162624	306.65
0.00164563	0.00148106	0.00219777	0.00185243	0.00212582	0.00162142	306.7
0.00164031	0.00147872	0.00219676	0.00185137	0.0021249	0.00161662	306.75
0.001635	0.00147641	0.00219563	0.00185034	0.0021239	0.00161181	306.8
0.0016297	0.00147411	0.00219437	0.00184934	0.00212279	0.00160703	306.85
0.00162442	0.00147183	0.00219291	0.00184832	0.00212151	0.00160225	306.9
0.00161932	0.00146962	0.00219111	0.00184701	0.00211989	0.00159763	306.95
0.00161474	0.00146805	0.0021893	0.00184582	0.00211829	0.00159356	307.0
0.00161028	0.00146654	0.00218774	0.00184507	0.00211697	0.00158959	307.05
0.00160585	0.00146502	0.00218628	0.00184451	0.00211576	0.00158563	307.1
0.00160142	0.00146353	0.00218485	0.00184411	0.0021146	0.00158168	307.15
0.001597	0.00146205	0.00218343	0.00184388	0.00211349	0.00157774	307.2
0.00159259	0.00146059	0.00218202	0.00184381	0.00211239	0.00157381	307.25
0.00158818	0.00145916	0.00218059	0.00184396	0.00211132	0.00156988	307.3
0.00158379	0.00145774	0.00217912	0.00184439	0.00211026	0.00156597	307.35
0.00157941	0.00145632	0.0021776	0.00184526	0.00210921	0.00156205	307.4
0.00157509	0.00145461	0.00217596	0.0018469	0.00210819	0.00155814	307.45
0.00157097	0.00145143	0.00217431	0.00184856	0.00210715	0.00155417	307.5
0.00156691	0.00144789	0.00217272	0.00184948	0.00210606	0.00155019	307.55
0.00156286	0.00144432	0.00217118	0.00184995	0.00210493	0.00154622	307.6
0.00155882	0.00144076	0.00216964	0.00185015	0.00210375	0.00154225	307.65
0.00155478	0.00143721	0.00216809	0.00185014	0.00210253	0.0015383	307.7
0.00155076	0.00143366	0.00216652	0.00184992	0.00210127	0.00153435	307.75
0.00154674	0.00143012	0.00216492	0.00184954	0.00209995	0.00153041	307.8
0.00154273	0.00142659	0.00216325	0.00184899	0.00209854	0.00152647	307.85
